Id,Label,timeset,modularity_class,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,harmonicclosnesscentrality,betweenesscentrality
nm0000355,Anthony Daniels,,5,1,0,1,1,0,1,0,0
nm0292235,Shelagh Fraser,,5,1,0,1,1,0,1,0,0
nm0353796,Garrick Hagon,,5,1,0,1,1,0,1,0,0
nm0000040,Stanley Kubrick,,12,0,44,44,0,48,48,1,0
nm0798826,Frank Silvera,,12,1,0,1,2,0,2,0,0
nm0363780,Kenneth Harp,,12,1,0,1,1,0,1,0,0
nm0005196,Paul Mazursky,,12,1,0,1,1,0,1,0,0
nm0170039,Stephen Coit,,12,1,0,1,1,0,1,0,0
nm0437325,Irene Kane,,12,1,0,1,1,0,1,0,0
nm0808600,Jamie Smith,,12,1,0,1,1,0,1,0,0
nm0418911,Jerry Jarrett,,12,1,0,1,1,0,1,0,0
nm0001330,Sterling Hayden,,12,1,0,1,2,0,2,0,0
nm0336531,Coleen Gray,,12,1,0,1,1,0,1,0,0
nm0250436,Vince Edwards,,12,1,0,1,1,0,1,0,0
nm0282435,Jay C. Flippen,,12,1,0,1,1,0,1,0,0
nm0000018,Kirk Douglas,,12,1,0,1,2,0,2,0,0
nm0576127,Ralph Meeker,,12,1,0,1,1,0,1,0,0
nm0579663,Adolphe Menjou,,12,1,0,1,1,0,1,0,0
nm0534317,George Macready,,12,1,0,1,1,0,1,0,0
nm0000059,Laurence Olivier,,12,1,0,1,1,0,1,0,0
nm0001739,Jean Simmons,,12,1,0,1,1,0,1,0,0
nm0001452,Charles Laughton,,12,1,0,1,1,0,1,0,0
nm0000051,James Mason,,12,1,0,1,1,0,1,0,0
nm0001859,Shelley Winters,,12,1,0,1,1,0,1,0,0
nm0528987,Sue Lyon,,12,1,0,1,1,0,1,0,0
nm0168324,Gary Cockrell,,12,1,0,1,1,0,1,0,0
nm0000634,Peter Sellers,,12,1,0,1,1,0,1,0,0
nm0001715,George C. Scott,,12,1,0,1,1,0,1,0,0
nm0943978,Keenan Wynn,,12,1,0,1,1,0,1,0,0
nm0001158,Keir Dullea,,12,1,0,1,1,0,1,0,0
nm0516972,Gary Lockwood,,12,1,0,1,1,0,1,0,0
nm0843213,William Sylvester,,12,1,0,1,1,0,1,0,0
nm0725220,Daniel Richter,,12,1,0,1,1,0,1,0,0
nm0000532,Malcolm McDowell,,12,1,0,1,1,0,1,0,0
nm0535861,Patrick Magee,,12,1,0,1,2,0,2,0,0
nm0060988,Michael Bates,,12,1,0,1,1,0,1,0,0
nm0165049,Warren Clarke,,12,1,0,1,1,0,1,0,0
nm0641939,Ryan O'Neal,,12,1,0,1,1,0,1,0,0
